,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2002-01-01,168.34429946609998,-183.76922127680007,547.9634859390129,168.34429946609998,168.34429946609998,0.02487243661001092,0.02487243661001092,0.02487243661001092,0.02487243661001092,0.02487243661001092,0.02487243661001092,0.0,0.0,0.0,172.53143238322724
1,2002-02-01,172.75352361260806,-74.22662598010163,623.1674954343595,172.75352361260806,172.75352361260806,0.7010535268944934,0.7010535268944934,0.7010535268944934,0.7010535268944934,0.7010535268944934,0.7010535268944934,0.0,0.0,0.0,293.86299062467805
2,2002-03-01,176.73604864816375,-175.1509838126697,576.13150488645,176.73604864816375,176.73604864816375,0.024817263450493454,0.024817263450493454,0.024817263450493454,0.024817263450493454,0.024817263450493454,0.024817263450493454,0.0,0.0,0.0,181.12215372866447
3,2002-04-01,181.14527279467183,-169.55698004598835,568.2262656494988,181.14527279467183,181.14527279467183,0.14672789896311295,0.14672789896311295,0.14672789896311295,0.14672789896311295,0.14672789896311295,0.14672789896311295,0.0,0.0,0.0,207.72433807893395
4,2002-05-01,185.41226390419578,-82.03288329780646,636.3622274161638,185.41226390419578,185.41226390419578,0.38679339316855854,0.38679339316855854,0.38679339316855854,0.38679339316855854,0.38679339316855854,0.38679339316855854,0.0,0.0,0.0,257.1285025947639
5,2002-06-01,189.82148805070386,-186.2439591363022,504.4150585990195,189.82148805070386,189.82148805070386,-0.150834521558348,-0.150834521558348,-0.150834521558348,-0.150834521558348,-0.150834521558348,-0.150834521558348,0.0,0.0,0.0,161.1898547190823
6,2002-07-01,194.08847916022776,-183.2790919637936,495.80638409056155,194.08847916022776,194.08847916022776,-0.20565451090016706,-0.20565451090016706,-0.20565451090016706,-0.20565451090016706,-0.20565451090016706,-0.20565451090016706,0.0,0.0,0.0,154.17330790717386
7,2002-08-01,198.49770330673584,-174.65216925760157,557.8024331562096,198.49770330673584,198.49770330673584,-0.10647600618902928,-0.10647600618902928,-0.10647600618902928,-0.10647600618902928,-0.10647600618902928,-0.10647600618902928,0.0,0.0,0.0,177.36246062093974
8,2002-09-01,202.90692746647716,-239.89914138659577,458.864454776079,202.90692746647716,202.90692746647716,-0.46408980682749773,-0.46408980682749773,-0.46408980682749773,-0.46408980682749773,-0.46408980682749773,-0.46408980682749773,0.0,0.0,0.0,108.73989069459869
9,2002-10-01,207.17391858880745,-175.1790559994561,550.9337038833195,207.17391858880745,207.17391858880745,-0.10018484010328088,-0.10018484010328088,-0.10018484010328088,-0.10018484010328088,-0.10018484010328088,-0.10018484010328088,0.0,0.0,0.0,186.41823268141763
10,2002-11-01,211.5831427485487,-177.98581079494062,525.4467944349759,211.5831427485487,211.5831427485487,-0.131099913437155,-0.131099913437155,-0.131099913437155,-0.131099913437155,-0.131099913437155,-0.131099913437155,0.0,0.0,0.0,183.84461104945277
11,2002-12-01,215.850133870879,-167.20266331532406,552.4086786025755,215.850133870879,215.850133870879,-0.10021195378301337,-0.10021195378301337,-0.10021195378301337,-0.10021195378301337,-0.10021195378301337,-0.10021195378301337,0.0,0.0,0.0,194.21937023135322
12,2003-01-01,220.25935803062032,-136.56101768610932,593.6465526620392,220.25935803062032,220.25935803062032,0.026109686012599595,0.026109686012599595,0.026109686012599595,0.026109686012599595,0.026109686012599595,0.026109686012599595,0.0,0.0,0.0,226.01026071013658
13,2003-02-01,224.66858219036163,24.54498966416705,711.051366050347,224.66858219036163,224.66858219036163,0.6989652314736948,0.6989652314736948,0.6989652314736948,0.6989652314736948,0.6989652314736948,0.6989652314736948,0.0,0.0,0.0,381.70410974591454
14,2003-03-01,228.6511072378699,-112.13639779107234,603.3388598147322,228.6511072378699,228.6511072378699,0.024791797042297337,0.024791797042297337,0.024791797042297337,0.024791797042297337,0.024791797042297337,0.024791797042297337,0.0,0.0,0.0,234.31977908200773
