,predicted_mean
2021-08-01,1045.3015344312078
2021-09-01,708.3401693723397
2021-10-01,1087.6987963464567
2021-11-01,1027.2392358643037
2021-12-01,1035.4339022144834
2022-01-01,1223.0905994058294
2022-02-01,1105.7175489784372
2022-03-01,681.9510742761076
2022-04-01,1228.7198818183595
2022-05-01,422.6110385275785
2022-06-01,963.299613284577
2022-07-01,1044.9129129050054
2022-08-01,191.2149827999026
2022-09-01,-2.0703207413342852
2022-10-01,-2.1175963250943823
2022-11-01,-2.0009676590816525
2022-12-01,-2.1211533835480623
