,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2002-01-01,758.777753034,283.99231042793207,1015.5756457931037,758.777753034,758.777753034,-0.1653714388998791,-0.1653714388998791,-0.1653714388998791,-0.1653714388998791,-0.1653714388998791,-0.1653714388998791,0.0,0.0,0.0,633.2975842095505
1,2002-02-01,767.7850249301456,551.0012697568645,1239.1233317770623,767.7850249301456,767.7850249301456,0.17493695373463625,0.17493695373463625,0.17493695373463625,0.17493695373463625,0.17493695373463625,0.17493695373463625,0.0,0.0,0.0,902.0989983144971
2,2002-03-01,775.9206253524706,307.8329156898882,1012.6368151876053,775.9206253524706,775.9206253524706,-0.15783943865743033,-0.15783943865743033,-0.15783943865743033,-0.15783943865743033,-0.15783943865743033,-0.15783943865743033,0.0,0.0,0.0,653.4497494041143
3,2002-04-01,784.9278972486161,284.23933478243913,1013.3173384053503,784.9278972486161,784.9278972486161,-0.16262254578109547,-0.16262254578109547,-0.16262254578109547,-0.16262254578109547,-0.16262254578109547,-0.16262254578109547,0.0,0.0,0.0,657.280924343444
4,2002-05-01,793.6446119868214,506.03564683659704,1239.1850575450928,793.6446119868214,793.6446119868214,0.09536164010109949,0.09536164010109949,0.09536164010109949,0.09536164010109949,0.09536164010109949,0.09536164010109949,0.0,0.0,0.0,869.3278638432854
5,2002-06-01,802.6518838829669,458.55733699499086,1153.0995044324382,802.6518838829669,802.6518838829669,0.010008202809993483,0.010008202809993483,0.010008202809993483,0.010008202809993483,0.010008202809993483,0.010008202809993483,0.0,0.0,0.0,810.684986722691
6,2002-07-01,811.3685986211722,504.9435467183502,1217.7266122879817,811.3685986211722,811.3685986211722,0.047192170339153794,0.047192170339153794,0.047192170339153794,0.047192170339153794,0.047192170339153794,0.047192170339153794,0.0,0.0,0.0,849.658843735143
7,2002-08-01,820.3758705173175,510.5051145596951,1261.679417440674,820.3758705173175,820.3758705173175,0.06848368679207514,0.06848368679207514,0.06848368679207514,0.06848368679207514,0.06848368679207514,0.06848368679207514,0.0,0.0,0.0,876.5582346856014
8,2002-09-01,829.3831424963643,612.7224858267175,1346.3530097610019,829.3831424963643,829.3831424963643,0.17410597517097448,0.17410597517097448,0.17410597517097448,0.17410597517097448,0.17410597517097448,0.17410597517097448,0.0,0.0,0.0,973.7837033110611
9,2002-10-01,838.0998573147964,529.1301116686058,1265.395866284932,838.0998573147964,838.0998573147964,0.06269429922089764,0.06269429922089764,0.06269429922089764,0.06269429922089764,0.06269429922089764,0.06269429922089764,0.0,0.0,0.0,890.6439405462819
10,2002-11-01,847.1071292938432,448.4352860293586,1180.7141515695857,847.1071292938432,847.1071292938432,-0.00776876867151971,-0.00776876867151971,-0.00776876867151971,-0.00776876867151971,-0.00776876867151971,-0.00776876867151971,0.0,0.0,0.0,840.5261499663641
11,2002-12-01,855.8238441122753,490.0951839400071,1208.4078766640132,855.8238441122753,855.8238441122753,0.005721927021678064,0.005721927021678064,0.005721927021678064,0.005721927021678064,0.005721927021678064,0.005721927021678064,0.0,0.0,0.0,860.7208056916976
12,2003-01-01,864.8311160913221,376.3885257354341,1076.571981176209,864.8311160913221,864.8311160913221,-0.14773067874214868,-0.14773067874214868,-0.14773067874214868,-0.14773067874214868,-0.14773067874214868,-0.14773067874214868,0.0,0.0,0.0,737.0690283138211
13,2003-02-01,873.8383880703686,642.6332867186937,1376.1405880036532,873.8383880703686,873.8383880703686,0.16257595684410597,0.16257595684410597,0.16257595684410597,0.16257595684410597,0.16257595684410597,0.16257595684410597,0.0,0.0,0.0,1015.9035001380201
14,2003-03-01,881.9739885675722,341.41295930035045,1028.0958491459223,881.9739885675722,881.9739885675722,-0.19354685933541016,-0.19354685933541016,-0.19354685933541016,-0.19354685933541016,-0.19354685933541016,-0.19354685933541016,0.0,0.0,0.0,711.2706930647936
15,2003-04-01,890.9812605466188,348.7479672504324,1075.9995035369036,890.9812605466188,890.9812605466188,-0.1880548926340595,-0.1880548926340595,-0.1880548926340595,-0.1880548926340595,-0.1880548926340595,-0.1880548926340595,0.0,0.0,0.0,723.4278752555655
16,2003-05-01,899.6979758796045,700.1343127628841,1420.3455555016167,899.6979758796045,899.6979758796045,0.17167663437863986,0.17167663437863986,0.17167663437863986,0.17167663437863986,0.17167663437863986,0.17167663437863986,0.0,0.0,0.0,1054.1550963358898
17,2003-06-01,908.7052483903566,543.6464875774326,1274.7416130806432,908.7052483903566,908.7052483903566,0.012703829278082779,0.012703829278082779,0.012703829278082779,0.012703829278082779,0.012703829278082779,0.012703829278082779,0.0,0.0,0.0,920.2492847300055
18,2003-07-01,917.4219637233424,580.1426038322012,1318.0418212095706,917.4219637233424,917.4219637233424,0.030000743788977213,0.030000743788977213,0.030000743788977213,0.030000743788977213,0.030000743788977213,0.030000743788977213,0.0,0.0,0.0,944.9453050033868
19,2003-08-01,926.4292362340944,608.5846177500106,1339.3338587166186,926.4292362340944,926.4292362340944,0.06552157047260873,0.06552157047260873,0.06552157047260873,0.06552157047260873,0.06552157047260873,0.06552157047260873,0.0,0.0,0.0,987.1303347238917
20,2003-09-01,935.4365087448464,682.8591219903842,1407.995362512792,935.4365087448464,935.4365087448464,0.12924118037178556,0.12924118037178556,0.12924118037178556,0.12924118037178556,0.12924118037178556,0.12924118037178556,0.0,0.0,0.0,1056.3334272978923
21,2003-10-01,944.1532240778322,674.8504193969643,1393.479611869339,944.1532240778322,944.1532240778322,0.09429109475527397,0.09429109475527397,0.09429109475527397,0.09429109475527397,0.09429109475527397,0.09429109475527397,0.0,0.0,0.0,1033.1784651928524
