,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2015-01-01,16771.98466386,9734.044127833402,21178.929873693964,16771.98466386,16771.98466386,-0.0793830471077458,-0.0793830471077458,-0.0793830471077458,-0.0793830471077458,-0.0793830471077458,-0.0793830471077458,0.0,0.0,0.0,15440.57341519841
1,2015-02-01,16851.955451137346,12068.121627020211,23765.748343591804,16851.955451137346,16851.955451137346,0.04919975826463552,0.04919975826463552,0.04919975826463552,0.04919975826463552,0.04919975826463552,0.04919975826463552,0.0,0.0,0.0,17681.067585619712
2,2015-03-01,16924.187129968494,6901.841819384039,18541.09669923329,16924.187129968494,16924.187129968494,-0.25147556430572937,-0.25147556430572937,-0.25147556430572937,-0.25147556430572937,-0.25147556430572937,-0.25147556430572937,0.0,0.0,0.0,12668.167621043904
3,2015-04-01,17004.157917214827,9745.270403490378,21724.246151129562,17004.157917214827,17004.157917214827,-0.0791740858306813,-0.0791740858306813,-0.0791740858306813,-0.0791740858306813,-0.0791740858306813,-0.0791740858306813,0.0,0.0,0.0,15657.8692587988
4,2015-05-01,17081.549001646767,13174.245651146051,24501.4772619833,17081.549001646767,17081.549001646767,0.09777009065425912,0.09777009065425912,0.09777009065425912,0.09777009065425912,0.09777009065425912,0.09777009065425912,0.0,0.0,0.0,18751.61359605294
5,2015-06-01,17161.519788893103,10594.301808188462,22285.457640518045,17161.519788893103,17161.519788893103,-0.06163876375510807,-0.06163876375510807,-0.06163876375510807,-0.06163876375510807,-0.06163876375510807,-0.06163876375510807,0.0,0.0,0.0,16103.70492494691
6,2015-07-01,17238.9108733323,10405.972636676603,22236.588761487896,17238.9108733323,17238.9108733323,-0.05360420743775407,-0.05360420743775407,-0.05360420743775407,-0.05360420743775407,-0.05360420743775407,-0.05360420743775407,0.0,0.0,0.0,16314.832718877242
7,2015-08-01,17318.88166058614,9292.092487690034,20595.172008657344,17318.88166058614,17318.88166058614,-0.14703592054289522,-0.14703592054289522,-0.14703592054289522,-0.14703592054289522,-0.14703592054289522,-0.14703592054289522,0.0,0.0,0.0,14772.38395284839
8,2015-09-01,17398.852447861143,12362.322428276217,24179.04273862378,17398.852447861143,17398.852447861143,0.054021755159044005,0.054021755159044005,0.054021755159044005,0.054021755159044005,0.054021755159044005,0.054021755159044005,0.0,0.0,0.0,18338.768994847833
9,2015-10-01,17476.243532320823,7522.39722680944,18854.880413945513,17476.243532320823,17476.243532320823,-0.2501259574679548,-0.2501259574679548,-0.2501259574679548,-0.2501259574679548,-0.2501259574679548,-0.2501259574679548,0.0,0.0,0.0,13104.981385855923
10,2015-11-01,17556.21431959583,12476.533540709534,23643.421090038148,17556.21431959583,17556.21431959583,0.02922848326688421,0.02922848326688421,0.02922848326688421,0.02922848326688421,0.02922848326688421,0.02922848326688421,0.0,0.0,0.0,18069.35583606597
11,2015-12-01,17633.605404033704,10111.633495025382,21394.809349026364,17633.605404033704,17633.605404033704,-0.09223460164577524,-0.09223460164577524,-0.09223460164577524,-0.09223460164577524,-0.09223460164577524,-0.09223460164577524,0.0,0.0,0.0,16007.176834013866
12,2016-01-01,17713.576191286174,10890.054745119058,22815.99028098639,17713.576191286174,17713.576191286174,-0.05095454373280428,-0.05095454373280428,-0.05095454373280428,-0.05095454373280428,-0.05095454373280428,-0.05095454373280428,0.0,0.0,0.0,16810.98899858292
13,2016-02-01,17793.54697852731,13919.600156107479,25700.269755372145,17793.54697852731,17793.54697852731,0.11160105217731808,0.11160105217731808,0.11160105217731808,0.11160105217731808,0.11160105217731808,0.11160105217731808,0.0,0.0,0.0,19779.325543297495
14,2016-03-01,17868.358360139984,11492.477872659747,22819.68310013535,17868.358360139984,17868.358360139984,-0.042510815769465915,-0.042510815769465915,-0.042510815769465915,-0.042510815769465915,-0.042510815769465915,-0.042510815769465915,0.0,0.0,0.0,17108.759869789275
15,2016-04-01,17948.329147381122,13127.309196826109,24694.914853484974,17948.329147381122,17948.329147381122,0.07230226892000569,0.07230226892000569,0.07230226892000569,0.07230226892000569,0.07230226892000569,0.07230226892000569,0.0,0.0,0.0,19246.03406805985
16,2016-05-01,18025.720231835487,11174.59204802602,22776.05952633744,18025.720231835487,18025.720231835487,-0.0511162204195581,-0.0511162204195581,-0.0511162204195581,-0.0511162204195581,-0.0511162204195581,-0.0511162204195581,0.0,0.0,0.0,17104.313543243697
17,2016-06-01,18105.69101910499,9449.142125368828,20645.476276549616,18105.69101910499,18105.69101910499,-0.16623005891592446,-0.16623005891592446,-0.16623005891592446,-0.16623005891592446,-0.16623005891592446,-0.16623005891592446,0.0,0.0,0.0,15095.980934285642
18,2016-07-01,18183.082103575634,10801.184659954417,22251.251885323694,18183.082103575634,18183.082103575634,-0.08500429297139944,-0.08500429297139944,-0.08500429297139944,-0.08500429297139944,-0.08500429297139944,-0.08500429297139944,0.0,0.0,0.0,16637.44206532028
19,2016-08-01,18263.052890861967,13829.153225346068,24365.575673985117,18263.052890861967,18263.052890861967,0.044724557134453835,0.044724557134453835,0.044724557134453835,0.044724557134453835,0.044724557134453835,0.044724557134453835,0.0,0.0,0.0,19079.859843328875
20,2016-09-01,18343.0236781483,10643.773655398158,21919.85895073302,18343.0236781483,18343.0236781483,-0.10994219625746043,-0.10994219625746043,-0.10994219625746043,-0.10994219625746043,-0.10994219625746043,-0.10994219625746043,0.0,0.0,0.0,16326.351368970074
21,2016-10-01,18420.414762587756,11507.840066984541,22926.947306080023,18420.414762587756,18420.414762587756,-0.060814751975114795,-0.060814751975114795,-0.060814751975114795,-0.060814751975114795,-0.060814751975114795,-0.060814751975114795,0.0,0.0,0.0,17300.18180752224
22,2016-11-01,18500.385549841863,10908.631452484236,22476.468529820733,18500.385549841863,18500.385549841863,-0.10154061886501875,-0.10154061886501875,-0.10154061886501875,-0.10154061886501875,-0.10154061886501875,-0.10154061886501875,0.0,0.0,0.0,16621.84495186947
23,2016-12-01,18577.776634312977,13309.256552163537,24591.146687544748,18577.776634312977,18577.776634312977,0.014061668594673615,0.014061668594673615,0.014061668594673615,0.014061668594673615,0.014061668594673615,0.014061668594673615,0.0,0.0,0.0,18839.011172570557
24,2017-01-01,18657.747421599797,10768.213483025893,21714.863115822514,18657.747421599797,18657.747421599797,-0.1333864119742097,-0.1333864119742097,-0.1333864119742097,-0.1333864119742097,-0.1333864119742097,-0.1333864119742097,0.0,0.0,0.0,16169.05743751154
25,2017-02-01,18737.718208886618,11384.652069274644,22809.025862868588,18737.718208886618,18737.718208886618,-0.07945005648340209,-0.07945005648340209,-0.07945005648340209,-0.07945005648340209,-0.07945005648340209,-0.07945005648340209,0.0,0.0,0.0,17249.005438820503
26,2017-03-01,18809.949887818555,10729.670754958142,22067.271082318523,18809.949887818555,18809.949887818555,-0.11104357347438798,-0.11104357347438798,-0.11104357347438798,-0.11104357347438798,-0.11104357347438798,-0.11104357347438798,0.0,0.0,0.0,16721.22583540102
27,2017-04-01,18889.92067520749,13675.590411890622,24806.435261783794,18889.92067520749,18889.92067520749,0.020274805880956204,0.020274805880956204,0.020274805880956204,0.020274805880956204,0.020274805880956204,0.020274805880956204,0.0,0.0,0.0,19272.910150003983
28,2017-05-01,18967.311759808767,13120.705601153264,24171.39275155879,18967.311759808767,18967.311759808767,-0.0028958768834979054,-0.0028958768834979054,-0.0028958768834979054,-0.0028958768834979054,-0.0028958768834979054,-0.0028958768834979054,0.0,0.0,0.0,18912.384760141438
29,2017-06-01,19047.282547230086,10698.228499387416,22577.57459640043,19047.282547230086,19047.282547230086,-0.13101811724462287,-0.13101811724462287,-0.13101811724462287,-0.13101811724462287,-0.13101811724462287,-0.13101811724462287,0.0,0.0,0.0,16551.743449265636
30,2017-07-01,19124.67363183136,11983.731974858398,23641.45942968645,19124.67363183136,19124.67363183136,-0.0731362725098208,-0.0731362725098208,-0.0731362725098208,-0.0731362725098208,-0.0731362725098208,-0.0731362725098208,0.0,0.0,0.0,17725.966289432356
31,2017-08-01,19204.64441925167,12880.155770301648,24652.163357180212,19204.64441925167,19204.64441925167,-0.019277095808363377,-0.019277095808363377,-0.019277095808363377,-0.019277095808363377,-0.019277095808363377,-0.019277095808363377,0.0,0.0,0.0,18834.434648816205
32,2017-09-01,19284.615206671977,12409.437528733828,24145.079823836568,19284.615206671977,19284.615206671977,-0.05530965399344545,-0.05530965399344545,-0.05530965399344545,-0.05530965399344545,-0.05530965399344545,-0.05530965399344545,0.0,0.0,0.0,18217.989812194213
33,2017-10-01,19362.006291351394,11174.042372875594,22476.49801357498,19362.006291351394,19362.006291351394,-0.12404068169504967,-0.12404068169504967,-0.12404068169504967,-0.12404068169504967,-0.12404068169504967,-0.12404068169504967,0.0,0.0,0.0,16960.329831988325
34,2017-11-01,19441.97707885346,12454.97392231459,23994.72990965634,19441.97707885346,19441.97707885346,-0.058445976761437035,-0.058445976761437035,-0.058445976761437035,-0.058445976761437035,-0.058445976761437035,-0.058445976761437035,0.0,0.0,0.0,18305.6717383064
35,2017-12-01,19519.368163532876,13277.70651480783,24802.963564677862,19519.368163532876,19519.368163532876,-0.021599775110504593,-0.021599775110504593,-0.021599775110504593,-0.021599775110504593,-0.021599775110504593,-0.021599775110504593,0.0,0.0,0.0,19097.75420090142
36,2018-01-01,19599.338951156926,12046.902403194708,23076.90433070616,19599.338951156926,19599.338951156926,-0.10687459999991578,-0.10687459999991578,-0.10687459999991578,-0.10687459999991578,-0.10687459999991578,-0.10687459999991578,0.0,0.0,0.0,17504.667440489262
37,2018-02-01,19679.30973878097,13375.491601673199,25187.901031821322,19679.30973878097,19679.30973878097,-0.014507083935611731,-0.014507083935611731,-0.014507083935611731,-0.014507083935611731,-0.014507083935611731,-0.014507083935611731,0.0,0.0,0.0,19393.820340605573
38,2018-03-01,19751.588488845493,10457.456855783428,21838.422126970832,19751.588488845493,19751.588488845493,-0.18072758538951728,-0.18072758538951728,-0.18072758538951728,-0.18072758538951728,-0.18072758538951728,-0.18072758538951728,0.0,0.0,0.0,16181.931593649062
39,2018-04-01,19831.611390702637,13805.398137920149,25595.68769621791,19831.611390702637,19831.611390702637,-0.030239655382002573,-0.030239655382002573,-0.030239655382002573,-0.030239655382002573,-0.030239655382002573,-0.030239655382002573,0.0,0.0,0.0,19231.910296577993
40,2018-05-01,19909.05290862891,15032.47774788283,27002.074337708942,19909.05290862891,19909.05290862891,0.04675137124504991,0.04675137124504991,0.04675137124504991,0.04675137124504991,0.04675137124504991,0.04675137124504991,0.0,0.0,0.0,20839.82843229756
41,2018-06-01,19989.11952031159,12067.898511492176,23711.261845350196,19989.11952031159,19989.11952031159,-0.09613477278934479,-0.09613477278934479,-0.09613477278934479,-0.09613477278934479,-0.09613477278934479,-0.09613477278934479,0.0,0.0,0.0,18067.470056967377
42,2018-07-01,20066.603338069017,13192.776401863077,23884.803328243546,20066.603338069017,20066.603338069017,-0.06266727522254656,-0.06266727522254656,-0.06266727522254656,-0.06266727522254656,-0.06266727522254656,-0.06266727522254656,0.0,0.0,0.0,18809.083983900575
43,2018-08-01,20146.67047553079,12530.822789409614,24685.10596566226,20146.67047553079,20146.67047553079,-0.08321626787661834,-0.08321626787661834,-0.08321626787661834,-0.08321626787661834,-0.08321626787661834,-0.08321626787661834,0.0,0.0,0.0,18470.139748417063
